"iso3","country","nstocks","bbmsy","bbmsy_sd","imp_nstocks","imp_bbmsy","imp_bbmsy_sd","imp_bbmsy_mt","imp_bbmsy_usd"
"AGO","Angola",9,0.912468455555556,0.189437756491678,60,0.833201361682211,0.264587084396602,0.701294067416131,0.817528002734058
"ALB","Albania",1,0.9207884,NA,77,0.755360469805608,0.268593740871378,0.705200642282885,0.735381730499298
"ARE","United Arab Emirates",6,0.999507033333333,0.196720100394044,284,0.859509530330306,0.290811136165313,0.875776953383315,0.934624388362226
"ARG","Argentina",31,0.737589877419355,0.250175318170508,541,0.812197280005739,0.28243307583785,0.875715389316644,0.88432752421667
"ATF","French Southern Terr",1,1.213034,NA,30,0.753657416496866,0.310977648488576,0.731534761230434,0.736670279363912
"AUS","Australia",21,0.730986508376419,0.230635944885088,418,0.822082961298055,0.269613538085693,0.75671076968447,0.855099818812276
"BEL","Belgium",19,0.757535845684211,0.281862909681244,520,0.786456360399778,0.29749046476723,0.906590943951445,0.930811062325189
"BEN","Benin",2,1.0176793,0.571512974775709,36,0.968525596753137,0.299937168498614,0.971367772792316,0.935990483453623
"BGD","Bangladesh",1,0.6313145,NA,275,0.838226502665867,0.276913678332467,0.942280857424138,0.929945917591111
"BGR","Bulgaria",1,0.3123283,NA,226,0.772688950825033,0.264621551245775,0.880683280804327,0.941951385330294
"BHR","Bahrain",2,1.1755938,0.350787471707984,104,0.851534944171931,0.277359942883797,0.8285163349865,0.827706038821187
"BHS","Bahamas",1,0.7459634,NA,55,0.853896032293931,0.219533075879501,0.998582453067949,1.01442796613087
"BLZ","Belize",1,0.9650793,NA,128,0.821809248718433,0.24885646416113,0.771581744666931,0.917589575873637
"BRA","Brazil",36,0.911352355555556,0.33720778702566,279,0.796993204311026,0.289248620702454,0.919178309780653,0.902311552620544
"BRB","Barbados",1,0.853115,NA,23,0.80363838462611,0.23643037430135,0.755195188623571,0.784007038693018
"CAN","Canada",43,0.718884442166522,0.256387702057959,603,0.798055760360348,0.278959942787893,NA,0.922973722520639
"CHL","Chile",40,0.712092595,0.235299008018572,496,0.807915384204384,0.284275102469611,0.857459423467862,0.924036521952544
"CHN","China",13,1.11802872307692,0.243963883432805,924,0.818350487873341,0.282914471837424,NA,0.809481409971985
"CIV","Côte d'Ivoire",11,0.749509072727273,0.256380674816766,113,0.816741315831477,0.28990684076341,0.761099509477272,0.698005313247608
"CMR","Cameroon",7,0.924960971428571,0.361228359446988,47,0.705227394789318,0.365269587922508,0.723969348404012,0.58211705427176
"COG","Congo",4,0.7876669,0.268453843153356,2,0.884753208,0.168064845595998,1.00013661885678,0.9822690443963
"COL","Colombia",2,0.8320252,0.07848121595847,83,0.858528086944257,0.264480419464261,0.975711455574093,0.963658760229377
"CPV","Cabo Verde",1,1.005483,NA,116,0.85147518676206,0.236437006457774,0.906950655777748,0.873815889932989
"CRI","Costa Rica",2,0.86890885,0.134720034561326,138,0.793256880924804,0.277128902434106,0.849731047109696,0.859071178492384
"CUB","Cuba",8,0.5764830875,0.230980585871759,25,0.861857275018564,0.251929975055482,0.994426499787877,0.980361570188518
"DEU","Germany",23,0.78955873226087,0.367072380271633,792,0.802019157567902,0.283613960923076,0.855252101397112,0.813883110844668
"DNK","Denmark",33,0.725130545454545,0.291955956483947,666,0.800771604456325,0.291438531936629,0.853971409934989,0.802749764444814
"DOM","Dominican Republic",3,0.772972333333333,0.141505728703128,117,0.799476048519036,0.29106882007694,0.859836948520027,0.973712777330134
"DZA","Algeria",9,0.905787566666667,0.284973433043021,62,0.789159972581103,0.266043949930601,0.626794430145172,0.730284295763302
