"Year","Importer.Code","Importer","Importer.ISO","Exporter.Code","Exporter","Exporter.ISO","Commodity.Code","Commodity","Max.Weight","Max.Value"
2007,40,"Austria","AUT",251,"France","FRA",30268,"Toothfish (Dissostichus spp.),fresh/chilled (excl. fillets/other fish meat of 03.04/livers & roes)",12,112
2007,40,"Austria","AUT",276,"Germany","DEU",30268,"Toothfish (Dissostichus spp.),fresh/chilled (excl. fillets/other fish meat of 03.04/livers & roes)",47,428
2007,40,"Austria","AUT",324,"Guinea","GIN",30268,"Toothfish (Dissostichus spp.),fresh/chilled (excl. fillets/other fish meat of 03.04/livers & roes)",500,4572
2007,40,"Austria","AUT",462,"Maldives","MDV",30268,"Toothfish (Dissostichus spp.),fresh/chilled (excl. fillets/other fish meat of 03.04/livers & roes)",55,501
2007,56,"Belgium","BEL",208,"Denmark","DNK",30268,"Toothfish (Dissostichus spp.),fresh/chilled (excl. fillets/other fish meat of 03.04/livers & roes)",195,2509
2007,56,"Belgium","BEL",251,"France","FRA",30268,"Toothfish (Dissostichus spp.),fresh/chilled (excl. fillets/other fish meat of 03.04/livers & roes)",6186,75304
2007,56,"Belgium","BEL",381,"Italy","ITA",30268,"Toothfish (Dissostichus spp.),fresh/chilled (excl. fillets/other fish meat of 03.04/livers & roes)",1876,20736
2007,56,"Belgium","BEL",528,"Netherlands","NLD",30268,"Toothfish (Dissostichus spp.),fresh/chilled (excl. fillets/other fish meat of 03.04/livers & roes)",30497,359349
2007,56,"Belgium","BEL",620,"Portugal","PRT",30268,"Toothfish (Dissostichus spp.),fresh/chilled (excl. fillets/other fish meat of 03.04/livers & roes)",190,4020
2007,124,"Canada","CAN",36,"Australia","AUS",30268,"Toothfish (Dissostichus spp.),fresh/chilled (excl. fillets/other fish meat of 03.04/livers & roes)",33,349
2007,124,"Canada","CAN",152,"Chile","CHL",30268,"Toothfish (Dissostichus spp.),fresh/chilled (excl. fillets/other fish meat of 03.04/livers & roes)",13735,227358
2007,124,"Canada","CAN",188,"Costa Rica","CRI",30268,"Toothfish (Dissostichus spp.),fresh/chilled (excl. fillets/other fish meat of 03.04/livers & roes)",59,2783
2007,124,"Canada","CAN",238,"Falkland Isds (Malvinas)","FLK",30268,"Toothfish (Dissostichus spp.),fresh/chilled (excl. fillets/other fish meat of 03.04/livers & roes)",1270,19936
