Exact Match,FishStatNameID,Taxon Key,FishStatName,FishStatTaxaName,CommonName,Matching Name,Fixed,Notes,Group,Order,Species,Genus,Totalmt,Capture,Aquaculture,Trade,Canada
1,1,590046,"Abalone meat, frozen",Abalone,Abalones,Abalones,,,,,,,152932,0,0,1,0
1,2,590046,"Abalone meat, prepared or preserved",Abalone,Abalones,Abalones,,,,,,,349297,0,0,1,0
1,3,590046,Abalone shells,Abalone ,Abalones,Abalones,,,,,,,13010,0,0,1,0
1,4,590046,Abalones nei,Abalones,Abalones,Abalones,,,,,,,818204.17,1,1,0,1
1,5,590046,"Abalones, dried",Abalones,Abalones,Abalones,,,,,,,16781,0,0,1,0
1,6,590046,"Abalones, shucked or not, live,fresh or chilled",Abalones,Abalones,Abalones,,,,,,,103830,0,0,1,0
1,7,590046,"Abalones, shucked or not, other than live,fresh or chilled",Abalones,Abalones,Abalones,,,,,,,8309,0,0,1,0
1,8,601169,Acoupa weakfish,Acoupa weakfish,Acoupa weakfish,Acoupa weakfish,,,,,,,242793,1,0,0,0
1,9,690003,Aesop shrimp,Aesop shrimp,Aesop shrimp,Aesop shrimp,,,,,,,7973,1,0,0,0
1,10,600086,African forktail snapper,African forktail snapper,African forktail snapper,African forktail snapper,,,,,,,210,1,0,0,0
1,11,600379,African moonfish,African moonfish,African moonfish,African moonfish,,,,,,,143115,1,0,0,0
0,12,501241,African sicklefish,African sicklefish,African sicklefish,Sicklefishes,1,,,,,,113959,1,0,0,0
1,13,608092,African striped grunt,African striped grunt,African striped grunt,African striped grunt,,,,,,,516,1,0,0,0
0,14,,Agar agar in powder,Agar agar,Agar agar,Agar agar,-1,Not found,,,,,5015,0,0,1,0
0,15,,Agar agar in strips,Agar agar,Agar agar,Agar agar,-1,Not found,,,,,6610,0,0,1,0
0,16,,Agar agar nei,Agar agar,Agar agar,Agar agar,-1,Not found,,,,,417820,0,0,1,0
0,17,,Aka coral,Aka coral,Aka coral,Aka coral,-1,Not found,,,,,74.06,1,0,0,0
1,18,690005,Akiami paste shrimp,Akiami paste shrimp,Akiami paste shrimp,Akiami paste shrimp,,,,,,,10485448,1,1,0,0
1,19,604250,Alaska plaice,Alaska plaice,Alaska plaice,Alaska plaice,,,,,,,54141,1,0,0,0
1,20,604250,"Alaska plaice, fresh or chilled",Alaska plaice,Alaska plaice,Alaska plaice,,,,,,,17,0,0,1,0
1,21,600318,"Alaska pollack fillets in blocks, frozen",Alaska pollack ,Alaska pollock ,Alaska pollock ,,,,,,,729727,0,0,1,0
1,22,600318,"Alaska pollack fillets, frozen",Alaska pollack ,Alaska pollock ,Alaska pollock ,,,,,,,10013122,0,0,1,0
1,23,600318,"Alaska pollack meat, whether or not minced, frozen",Alaska pollack,Alaska pollock ,Alaska pollock ,,,,,,,9535016,0,0,1,0
1,24,600318,"Alaska pollack oil, nei",Alaska pollack,Alaska pollock ,Alaska pollock ,,,,,,,5576,0,0,1,0
1,25,600318,"Alaska pollack roes, frozen",Alaska pollack ,Alaska pollock ,Alaska pollock ,,,,,,,870454,0,0,1,0
1,26,600318,"Alaska pollack roes, pickled",Alaska pollack ,Alaska pollock ,Alaska pollock ,,,,,,,1126423,0,0,1,0
1,27,600318,"Alaska pollack, dried, unsalted","Alaska pollack, unsalted",Alaska pollock ,Alaska pollock ,,,,,,,341479,0,0,1,0
1,28,600318,"Alaska Pollack, fresh or chilled",Alaska Pollack,Alaska pollock ,Alaska pollock ,,,,,,,6328973,0,0,1,0
1,29,600318,"Alaska pollack, frozen","Alaska pollack, frozen",Alaska pollock ,Alaska pollock ,,,,,,,36309514,0,0,1,0
1,30,600318,"Alaska pollack, not minced, prepared or preserved",Alaska pollack,Alaska pollock ,Alaska pollock ,,,,,,,479218,0,0,1,0
1,31,600318,Alaska pollock(=Walleye poll.),Alaska pollock(=Walleye poll.),Alaska pollock ,Alaska pollock ,,,,,,,194730667,1,0,0,1
1,32,600142,Albacore,Albacore,Albacore,Albacore,,,,,,,12014156,1,0,0,1
1,33,600142,"Albacore (=Longfin tuna), fresh or chilled",Albacore (=Longfin tuna),Albacore,Albacore,,,,,,,892185,0,0,1,0
1,34,600142,"Albacore (=Longfin tuna), frozen, nei","Albacore (=Longfin tuna), frozen,",Albacore,Albacore,,,,,,,10157612,0,0,1,0
1,35,600142,"Albacore (=Longfin tuna), gilled, gutted, frozen","Albacore (=Longfin tuna), gilled, gutted, frozen",Albacore,Albacore,,,,,,,11916,0,0,1,0
1,36,600142,"Albacore (=Longfin tuna), heads-off, etc., frozen","Albacore (=Longfin tuna), heads-off, etc., frozen",Albacore,Albacore,,,,,,,6261,0,0,1,0
1,37,600142,"Albacore (=Longfin tuna), prep. or pres., not minced, nei","Albacore (=Longfin tuna), prep. or pres., not minced,",Albacore,Albacore,,,,,,,3203622,0,0,1,0
1,38,600142,"Albacore (=Longfin tuna), prepared or preserved, not minced, in oil","Albacore (=Longfin tuna), prepared or preserved, not minced, in oil",Albacore,Albacore,,,,,,,250720,0,0,1,0
1,39,601583,Alewife,Alewife,Alewife,Alewife,,,,,,,1200534,1,0,0,1
1,40,601583,"Alewife, dried, salted or in brine","Alewife, salted or in brine",Alewife,Alewife,,,,,,,128426,0,0,1,0
1,41,601888,Alexandria pompano,Alexandria pompano,Alexandria pompano,Alexandria pompano,,,,,,,10697,1,0,0,0
1,42,601319,Alfonsino,Alfonsino,Alfonsino,Alfonsino,,,,,,,21937,1,0,0,0
1,43,501129,Alfonsinos nei,Alfonsinos,Alfonsinos,Alfonsinos,,,,,,,214879,1,0,0,0
1,44,600101,Allis shad,Allis shad,Allis shad,Allis shad,,,,,,,949,1,0,0,0
0,45,500928,"Amberjack fillets, frozen",Amberjack ,Amberjack ,Amberjacks,1,,,,,,9647,0,0,1,0
1,46,500928,Amberjacks nei,Amberjacks,Amberjacks,Amberjacks,,,,,,,3654785.7,1,1,0,0
1,47,500928,"Amberjacks, fresh or chilled",Amberjacks,Amberjacks,Amberjacks,,,,,,,36946,0,0,1,0
1,48,500928,"Amberjacks, frozen","Amberjacks, frozen",Amberjacks,Amberjacks,,,,,,,28813,0,0,1,0
1,49,604239,Amer. plaice(=Long rough dab),Amer. plaice(=Long rough dab),American plaice,American plaice,,,,,,,3248911,1,0,0,1
1,50,600532,American angler,American angler,American angler,American angler,,,,,,,621917,1,0,0,1
0,51,,American bull frog,American bull frog,American bull frog,American bull frog,-1,Not found. Not even other frogs,,,,,0,0,1,0,0
1,52,600300,American conger,American conger,American conger,American conger,,,,,,,2088,1,0,0,0
1,53,690009,American cupped oyster,American cupped oyster,American cupped oyster,American cupped oyster,,,,,,,13823448,1,1,0,1
