id_fao,stockid,fao_area,sci_name_orig,sci_name_fb,comm_name,year1,year2,nyr,tl_median,lh_catg,resilience,id_comtrade,CT notes,id_fao_trade,FAO notes,comment
1,34LUK,"Atlantic, Eastern Central",Selene dorsalis,Selene dorsalis,African moonfish,1969,2015,47,2534,Miscellaneous demersal fishes,High,NA,,NA,,
2,34SIC,"Atlantic, Eastern Central",Drepane africana,Drepane africana,African sicklefish,1965,2015,51,1964,Miscellaneous coastal fishes,Medium,NA,,NA,,
3,57AKS,"Indian Ocean, Eastern",Acetes japonicus,Acetes japonicus,Akiami paste shrimp,1950,1974,25,1899,"Shrimps, prawns",High,NA,CT shrimps and prawns excluding cold-water varieties,NA,FAO shrimp; Shrimps and prawns,
4,61AKS,"Pacific, Northwest",Acetes japonicus,Acetes japonicus,Akiami paste shrimp,1950,2015,66,185005.5,"Shrimps, prawns",High,NA,CT shrimps and prawns excluding cold-water varieties,NA,FAO shrimp; Shrimps and prawns,
5,61ALK,"Pacific, Northwest",Theragra chalcogramma,Theragra chalcogramma,Alaska pollock(=Walleye poll.),1950,2015,66,1906804.5,"Cods, hakes, haddocks",Medium,NA,,NA,FAO Alaska pollock,
6,67ALK,"Pacific, Northeast",Theragra chalcogramma,Theragra chalcogramma,Alaska pollock(=Walleye poll.),1950,2015,66,1104760.5,"Cods, hakes, haddocks",Medium,NA,,NA,FAO Alaska pollock,
7,27ALB,"Atlantic, Northeast",Thunnus alalunga,Thunnus alalunga,Albacore,1950,2015,66,30493.5,"Tunas, bonitos, billfishes",Low,NA,,NA," FAO Albacore (=Longfin tuna); Tunas, bonitos, billfishes; TUNA",
8,31ALB,"Atlantic, Western Central",Thunnus alalunga,Thunnus alalunga,Albacore,1956,2015,60,4103.5,"Tunas, bonitos, billfishes",Low,NA,,NA," FAO Albacore (=Longfin tuna); Tunas, bonitos, billfishes; TUNA",
9,34ALB,"Atlantic, Eastern Central",Thunnus alalunga,Thunnus alalunga,Albacore,1962,2015,54,3501,"Tunas, bonitos, billfishes",Low,NA,,NA," FAO Albacore (=Longfin tuna); Tunas, bonitos, billfishes; TUNA",
10,37ALB,Mediterranean and Black Sea,Thunnus alalunga,Thunnus alalunga,Albacore,1965,2015,51,2378,"Tunas, bonitos, billfishes",Low,NA,,NA," FAO Albacore (=Longfin tuna); Tunas, bonitos, billfishes; TUNA",
11,41ALB,"Atlantic, Southwest",Thunnus alalunga,Thunnus alalunga,Albacore,1956,2015,60,7915,"Tunas, bonitos, billfishes",Low,NA,,NA," FAO Albacore (=Longfin tuna); Tunas, bonitos, billfishes; TUNA",
12,47ALB,"Atlantic, Southeast",Thunnus alalunga,Thunnus alalunga,Albacore,1961,2015,55,15003,"Tunas, bonitos, billfishes",Low,NA,,NA," FAO Albacore (=Longfin tuna); Tunas, bonitos, billfishes; TUNA",
13,51ALB,"Indian Ocean, Western",Thunnus alalunga,Thunnus alalunga,Albacore,1950,2015,66,11402.5,"Tunas, bonitos, billfishes",Low,NA,,NA," FAO Albacore (=Longfin tuna); Tunas, bonitos, billfishes; TUNA",
14,57ALB,"Indian Ocean, Eastern",Thunnus alalunga,Thunnus alalunga,Albacore,1950,2015,66,6363,"Tunas, bonitos, billfishes",Low,NA,,NA," FAO Albacore (=Longfin tuna); Tunas, bonitos, billfishes; TUNA",
15,61ALB,"Pacific, Northwest",Thunnus alalunga,Thunnus alalunga,Albacore,1950,2015,66,51213,"Tunas, bonitos, billfishes",Low,NA,,NA," FAO Albacore (=Longfin tuna); Tunas, bonitos, billfishes; TUNA",
16,67ALB,"Pacific, Northeast",Thunnus alalunga,Thunnus alalunga,Albacore,1950,2015,66,7324.5,"Tunas, bonitos, billfishes",Low,NA,,NA," FAO Albacore (=Longfin tuna); Tunas, bonitos, billfishes; TUNA",
17,71ALB,"Pacific, Western Central",Thunnus alalunga,Thunnus alalunga,Albacore,1950,2015,66,14228,"Tunas, bonitos, billfishes",Low,NA,,NA," FAO Albacore (=Longfin tuna); Tunas, bonitos, billfishes; TUNA",
18,77ALB,"Pacific, Eastern Central",Thunnus alalunga,Thunnus alalunga,Albacore,1950,2015,66,19245.5,"Tunas, bonitos, billfishes",Low,NA,,NA," FAO Albacore (=Longfin tuna); Tunas, bonitos, billfishes; TUNA",
19,81ALB,"Pacific, Southwest",Thunnus alalunga,Thunnus alalunga,Albacore,1964,2015,52,14051,"Tunas, bonitos, billfishes",Low,NA,,NA," FAO Albacore (=Longfin tuna); Tunas, bonitos, billfishes; TUNA",
20,21ALE,"Atlantic, Northwest",Alosa pseudoharengus,Alosa pseudoharengus,Alewife,1950,2015,66,13035.5,Shads,High,NA,,NA," FAO Albacore (=Longfin tuna); Tunas, bonitos, billfishes; TUNA",
21,21PLA,"Atlantic, Northwest",Hippoglossoides platessoides,Hippoglossoides platessoides,Amer. plaice(=Long rough dab),1950,2015,66,40126,"Flounders, halibuts, soles",Very low,NA,CT has plaice but: pleuronectes platessa,NA,FAO American plaice,
22,27PLA,"Atlantic, Northeast",Hippoglossoides platessoides,Hippoglossoides platessoides,Amer. plaice(=Long rough dab),1973,2015,43,3425,"Flounders, halibuts, soles",Very low,NA,,NA,FAO American plaice,
23,21ANG,"Atlantic, Northwest",Lophius americanus,Lophius americanus,American angler,1950,2015,66,7532.5,Miscellaneous demersal fishes,Very low,NA,,NA,FAO  Angler (=Monk),
24,21OYA,"Atlantic, Northwest",Crassostrea virginica,Crassostrea virginica,American cupped oyster,1950,2015,66,86176.5,"Scallops, pectens",High,NA,CT general oysters,NA,FAO Oyster,"396, 397 Flat oysters"
25,31OYA,"Atlantic, Western Central",Crassostrea virginica,Crassostrea virginica,American cupped oyster,1950,2015,66,76115.5,"Scallops, pectens",High,NA,,NA,FAO Oyster,"396, 397 Flat oysters"
26,21LBA,"Atlantic, Northwest",Homarus americanus,Homarus americanus,American lobster,1950,2015,66,44202.5,"Lobsters, spiny-rock lobsters",Medium,NA,CT homarus spp,NA,FAO Lobsters; American/European lobsters (Homarus spp.),
27,21SCA,"Atlantic, Northwest",Placopecten magellanicus,Placopecten magellanicus,American sea scallop,1950,2015,66,133986,"Scallops, pectens",Medium,NA,"CT including queen scallops of the genera pecten, chlamys or placopecten",NA,FAO scallops,
28,21SHA,"Atlantic, Northwest",Alosa sapidissima,Alosa sapidissima,American shad,1950,2015,66,1113.5,Shads,High,NA,,NA,FAO shads,
29,87VET,"Pacific, Southeast",Engraulis ringens,Engraulis ringens,Anchoveta(=Peruvian anchovy),1950,2015,66,4754077.5,"Herrings, sardines, anchovies",High,NA,CT anchovies (engraulis spp.),NA,FAO Anchoveta; Anchovies,
30,27MON,"Atlantic, Northeast",Lophius piscatorius,Lophius piscatorius,Angler(=Monk),1950,2015,66,12901.5,Miscellaneous demersal fishes,Low,NA,,NA,FAO  Angler (=Monk),
31,48KRI,"Atlantic, Antarctic",Euphausia superba,Euphausia superba,Antarctic krill,1973,2015,43,129026,"Shrimps, prawns",High,NA,,NA,FAO Krill,
32,87CKI,"Pacific, Southeast",Strangomera bentincki,Clupea bentincki,Araucanian herring,1950,2015,66,105000,"Herrings, sardines, anchovies",High,NA,"CT herrings (Clupea harengus, Clupea pallasii)",NA,FAO Flaps of herring; Herring; Pacific herring,
33,41ANA,"Atlantic, Southwest",Engraulis anchoita,Engraulis anchoita,Argentine anchovy,1950,2015,66,16850,"Herrings, sardines, anchovies",Medium,NA,CT anchovies (engraulis spp.),NA,FAO Anchoveta; Anchovies,
34,41SUG,"Atlantic, Southwest",Squatina argentina,Squatina argentina,Argentine angelshark,1990,2015,26,4088,"Sharks, rays, chimaeras",Very low,NA,CT shark fins category; dogfish and other sharks,NA,"FAO sharks; Sharks, rays, chimaeras; ",
35,41CKY,"Atlantic, Southwest",Umbrina canosai,Umbrina canosai,Argentine croaker,1950,2015,66,7079,Miscellaneous demersal fishes,Medium,NA,,NA,FAO Croakers,
36,41HKP,"Atlantic, Southwest",Merluccius hubbsi,Merluccius hubbsi,Argentine hake,1950,2015,66,333606,"Cods, hakes, haddocks",Medium,NA,"CT hake (merluccius spp., urophycis spp.)",NA,"FAO Hake; Argentine hake; Cods, hakes, haddocks",I USE THE GENERAL CATEGORY I.E. HAKE AND THEN THE SPECIFIC ONE I.E. ARGENTINE HAKE
37,41LAA,"Atlantic, Southwest",Pleoticus muelleri,Pleoticus muelleri,Argentine red shrimp,1950,2015,66,4549,"Shrimps, prawns",High,NA,CT shrimps and prawns excluding cold-water varieties,NA,FAO shrimp; Shrimps and prawns,IF I DONT FIND THE SPECIES I USE THE NEXT LARGER CATEGORY
38,41BSZ,"Atlantic, Southwest",Acanthistius brasilianus,Acanthistius brasilianus,Argentine seabass,1950,2015,66,4001,Miscellaneous coastal fishes,Medium,NA,CT seabass (Dicentrarchus spp.),NA,FAO Seabass,
