"","Exporter.ISO","Importer.ISO","Year","stockid","areaid","fao_code","fao_area","iso3","country","class","sci_name","comm_name","year","tl_mt","tl_type","spec_freq_0.05","spec_freq_0.20","mprm","cmsy13","comsir","ocom","super","Importer.Code","Importer","Exporter.Code","Exporter","Commodity.Code","Commodity","Max.Weight","Max.Value","geff.Importer","geff.Exporter","iso_o","iso_d","contig","comlang_off","comlang_ethno","colony","comcol","curcol","col45","smctry","dist","distcap","distw","distwces"
"1","ARG","AGO",2012,"41-ARG-TOP","41-ARG",41,"Atlantic, Southwest","ARG","Argentina","Pisces","Dissostichus eleginoides","Patagonian toothfish",2012,3266,"official",0.3018682,0.01527951,0.5762164,0.471247,NA,0.5050241,1.031187,24,"Angola",32,"Argentina",30422,"Toothfish (Dissostichus spp.), frozen fillets",20689,55943,-0.99,-0.24,"AGO","ARG",0,0,0,0,0,0,0,0,7792.03,7792.03,"7977.916","7961.882"
"2","ARG","AGO",2011,"41-ARG-TOP","41-ARG",41,"Atlantic, Southwest","ARG","Argentina","Pisces","Dissostichus eleginoides","Patagonian toothfish",2011,2989,"official",0.3112393,0.0158184,0.5716124,0.4659614,NA,0.4890979,1.04143,24,"Angola",32,"Argentina",30422,"Toothfish (Dissostichus spp.), frozen fillets",27993,58037,-1.15,-0.12,"AGO","ARG",0,0,0,0,0,0,0,0,7792.03,7792.03,"7977.916","7961.882"
"3","ARG","AGO",2010,"41-ARG-TOP","41-ARG",41,"Atlantic, Southwest","ARG","Argentina","Pisces","Dissostichus eleginoides","Patagonian toothfish",2010,3015,"official",0.3216341,0.01632826,0.5733316,0.4626887,NA,0.4752893,0.9952172,24,"Angola",32,"Argentina",30422,"Toothfish (Dissostichus spp.), frozen fillets",28014,58075,-1.12,-0.16,"AGO","ARG",0,0,0,0,0,0,0,0,7792.03,7792.03,"7977.916","7961.882"
"4","ARG","ANT",2009,"41-ARG-TOP","41-ARG",41,"Atlantic, Southwest","ARG","Argentina","Pisces","Dissostichus eleginoides","Patagonian toothfish",2009,2434,"official",0.3316624,0.01703078,0.558117,0.4481483,NA,0.447674,1.024382,530,"Neth. Antilles",32,"Argentina",30422,"Toothfish (Dissostichus spp.), frozen fillets",50,445,0.76,-0.32,"ANT","ARG",0,1,0,0,0,0,0,0,5320.497,5320.497,"5201.84","5165.01"
"5","ARG","ARE",2011,"41-ARG-TOP","41-ARG",41,"Atlantic, Southwest","ARG","Argentina","Pisces","Dissostichus eleginoides","Patagonian toothfish",2011,2989,"official",0.3112393,0.0158184,0.5716124,0.4659614,NA,0.4890979,1.04143,784,"United Arab Emirates",32,"Argentina",30362,"Toothfish (Dissostichus spp.),frozen (excl. fillets/other fish meat of 03.04/livers & roes)",2875,43225,1.06,-0.12,"ARE","ARG",0,0,0,0,0,0,0,0,13557.2,13557.2,"13816.55","13809.92"
"6","ARG","ARG",2015,"41-ARG-TOP","41-ARG",41,"Atlantic, Southwest","ARG","Argentina","Pisces","Dissostichus eleginoides","Patagonian toothfish",2015,3719,"official",0.2759443,0.01398425,0.5845413,0.4521997,NA,0.5179349,0.9453668,32,"Argentina",32,"Argentina",30383,"Fish and crustaceans, molluscs and other aquatic invertebrates // Fish, frozen, excluding fish fillets and other fish meat of heading03.04. // - Other fish, excluding livers and roes : // -- Toothfish (Dissostichus spp.)",15420,265548,-0.07,-0.07,"ARG","ARG",0,0,0,0,0,0,0,0,625.6475,625.6475,"533.9082","96.14934"
"7","ARG","AUS",2007,"41-ARG-TOP","41-ARG",41,"Atlantic, Southwest","ARG","Argentina","Pisces","Dissostichus eleginoides","Patagonian toothfish",2007,1873,"official",0.3522842,0.01861995,0.5136193,0.4098094,NA,0.3861271,0.7374621,36,"Australia",32,"Argentina",30492,"Toothfish (Dissostichus spp.),n.e.s.",1316,1842,1.83,-0.02,"AUS","ARG",0,0,0,0,0,0,0,0,11801.36,11733.88,"12044.57","12018.27"
"8","ARG","AUS",2007,"41-ARG-TOP","41-ARG",41,"Atlantic, Southwest","ARG","Argentina","Pisces","Dissostichus eleginoides","Patagonian toothfish",2007,1873,"official",0.3522842,0.01861995,0.5136193,0.4098094,NA,0.3861271,0.7374621,36,"Australia",32,"Argentina",30422,"Toothfish (Dissostichus spp.), frozen fillets",24727,113548,1.83,-0.02,"AUS","ARG",0,0,0,0,0,0,0,0,11801.36,11733.88,"12044.57","12018.27"
"9","ARG","AUT",2013,"41-ARG-TOP","41-ARG",41,"Atlantic, Southwest","ARG","Argentina","Pisces","Dissostichus eleginoides","Patagonian toothfish",2013,3464,"official",0.2927933,0.01480499,0.5797059,0.4715439,NA,0.5174744,0.9680571,40,"Austria",32,"Argentina",30455,"Fish and crustaceans, molluscs and other aquatic invertebrates // Fish fillets and other fish meat (whether or not minced), fresh, chilled or frozen. // - Other, fresh or chilled : // -- Toothfish (Dissostichus spp.)",1200,6629,1.59,-0.28,"AUT","ARG",0,0,0,0,0,0,0,0,11833.76,11833.76,"11751.15","11742.89"
"10","ARG","BEL",2015,"41-ARG-TOP","41-ARG",41,"Atlantic, Southwest","ARG","Argentina","Pisces","Dissostichus eleginoides","Patagonian toothfish",2015,3719,"official",0.2759443,0.01398425,0.5845413,0.4521997,NA,0.5179349,0.9453668,56,"Belgium",32,"Argentina",30383,"Fish and crustaceans, molluscs and other aquatic invertebrates // Fish, frozen, excluding fish fillets and other fish meat of heading03.04. // - Other fish, excluding livers and roes : // -- Toothfish (Dissostichus spp.)",8734,190188,1.44,-0.07,"BEL","ARG",0,0,0,0,0,0,0,0,11326.76,11326.76,"11305.29","11297.56"
"11","ARG","BEL",2007,"41-ARG-TOP","41-ARG",41,"Atlantic, Southwest","ARG","Argentina","Pisces","Dissostichus eleginoides","Patagonian toothfish",2007,1873,"official",0.3522842,0.01861995,0.5136193,0.4098094,NA,0.3861271,0.7374621,56,"Belgium",32,"Argentina",30492,"Toothfish (Dissostichus spp.),n.e.s.",22500,92298,1.61,-0.02,"BEL","ARG",0,0,0,0,0,0,0,0,11326.76,11326.76,"11305.29","11297.56"
"12","ARG","BGR",2011,"41-ARG-TOP","41-ARG",41,"Atlantic, Southwest","ARG","Argentina","Pisces","Dissostichus eleginoides","Patagonian toothfish",2011,2989,"official",0.3112393,0.0158184,0.5716124,0.4659614,NA,0.4890979,1.04143,100,"Bulgaria",32,"Argentina",30362,"Toothfish (Dissostichus spp.),frozen (excl. fillets/other fish meat of 03.04/livers & roes)",3766,18185,0.11,-0.12,"BGR","ARG",0,0,0,0,0,0,0,0,11954.84,11954.84,"12115.57","12107.87"
"13","ARG","BIH",2013,"41-ARG-TOP","41-ARG",41,"Atlantic, Southwest","ARG","Argentina","Pisces","Dissostichus eleginoides","Patagonian toothfish",2013,3464,"official",0.2927933,0.01480499,0.5797059,0.4715439,NA,0.5174744,0.9680571,70,"Bosnia Herzegovina",32,"Argentina",30283,"Fish and crustaceans, molluscs and other aquatic invertebrates // Fish, fresh or chilled, excluding fish fillets and other fish meat of heading 03.04. // - Other fish, excluding livers and roes : // -- Toothfish (Dissostichus spp.)",8,139,-0.43,-0.28,"BIH","ARG",0,0,0,0,0,0,0,0,11694.93,11694.93,"11708.03","11701.19"
